sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
getAllAlbums,1,35066,35066,35066,35066,35066,35066,35066,0.00%,.0,.1,0.00
createAlbum,1,1725,1725,1725,1725,1725,1725,1725,0.00%,.6,.4,0.00
getAlbum,1,183,183,183,183,183,183,183,0.00%,5.5,4.5,0.00
updateAlbum,1,168,168,168,168,168,168,168,0.00%,6.0,3.4,0.00
updateAlbumCoverImage,1,512,512,512,512,512,512,512,0.00%,2.0,1.1,0.00
addImages,1,803,803,803,803,803,803,803,0.00%,1.2,.7,0.00
getImages,1,268,268,268,268,268,268,268,0.00%,3.7,2.7,0.00
deleteImages,1,172,172,172,172,172,172,172,0.00%,5.8,3.3,0.00
deleteAlbum,1,487,487,487,487,487,487,487,0.00%,2.1,1.2,0.00
TOTAL,9,4376,487,1725,35066,35066,168,35066,0.00%,.2,.2,10860.54
