Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
getAllAlbums,1,35066,35066,35066,35066,0.00,0.00%,.0,0.07,2604.0
createAlbum,1,1725,1725,1725,1725,0.00,0.00%,.6,0.36,639.0
getAlbum,1,183,183,183,183,0.00,0.00%,5.5,4.48,839.0
updateAlbum,1,168,168,168,168,0.00,0.00%,6.0,3.40,585.0
updateAlbumCoverImage,1,512,512,512,512,0.00,0.00%,2.0,1.12,585.0
addImages,1,803,803,803,803,0.00,0.00%,1.2,0.71,585.0
getImages,1,268,268,268,268,0.00,0.00%,3.7,2.74,753.0
deleteImages,1,172,172,172,172,0.00,0.00%,5.8,3.32,585.0
deleteAlbum,1,487,487,487,487,0.00,0.00%,2.1,1.17,585.0
TOTAL,9,4376,168,35066,1725,10860.54,0.00%,.2,0.19,862.2
