sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
getAllAlbums,10,2210,1050,5652,5652,5841,821,5841,0.00%,1.7,1508.0,1884.92
createAlbum,10,123,89,202,202,220,68,220,0.00%,1.9,1.2,56.12
getAlbum,10,245,184,563,563,663,63,663,100.00%,2.0,1.2,199.06
updateAlbum,10,144,156,204,204,210,70,210,100.00%,2.0,1.2,51.99
updateAlbumCoverImage,10,87,76,89,89,201,61,201,100.00%,2.0,1.2,38.78
addImages,10,80,73,77,77,172,58,172,100.00%,2.5,1.5,30.88
getImages,10,80,72,80,80,163,58,163,100.00%,2.0,1.2,28.36
deleteImages,10,73,72,84,84,106,57,106,100.00%,2.0,1.2,13.57
deleteAlbum,10,76,73,93,93,99,57,99,100.00%,2.0,1.2,12.39
TOTAL,90,347,78,821,1050,5652,57,5841,77.78%,12.7,1251.1,914.95
