Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
getAllAlbums,10,2210,821,5841,5652,1884.92,0.00%,1.7,1508.00,901963.6
createAlbum,10,123,68,220,202,56.12,0.00%,1.9,1.20,640.0
getAlbum,10,245,63,663,563,199.06,100.00%,2.0,1.20,626.0
updateAlbum,10,144,70,210,204,51.99,100.00%,2.0,1.21,626.0
updateAlbumCoverImage,10,87,61,201,89,38.78,100.00%,2.0,1.23,637.0
addImages,10,80,58,172,77,30.88,100.00%,2.5,1.52,633.0
getImages,10,80,58,163,80,28.36,100.00%,2.0,1.22,633.0
deleteImages,10,73,57,106,84,13.57,100.00%,2.0,1.22,633.0
deleteAlbum,10,76,57,99,93,12.39,100.00%,2.0,1.21,626.0
TOTAL,90,347,57,5841,821,914.95,77.78%,12.7,1251.07,100779.7
