sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
getAllAlbums,1,545,545,545,545,545,545,545,0.00%,1.8,4.7,0.00
createAlbum,1,84,84,84,84,84,84,84,0.00%,11.9,7.4,0.00
getAlbum,1,132,132,132,132,132,132,132,0.00%,7.6,6.2,0.00
updateAlbum,1,190,190,190,190,190,190,190,0.00%,5.3,3.0,0.00
updateAlbumCoverImage,1,151,151,151,151,151,151,151,0.00%,6.6,3.8,0.00
addImages,1,266,266,266,266,266,266,266,0.00%,3.8,2.1,0.00
getImages,1,111,111,111,111,111,111,111,0.00%,9.0,6.6,0.00
deleteImages,1,158,158,158,158,158,158,158,0.00%,6.3,3.6,0.00
deleteAlbum,1,340,340,340,340,340,340,340,0.00%,2.9,1.7,0.00
TOTAL,9,219,158,340,545,545,84,545,0.00%,3.8,3.2,137.34
