Label,# Samples,Average,Min,Max,90% Line,Std. Dev.,Error %,Throughput,Received KB/sec,Avg. Bytes
getAllAlbums,1,524,524,524,524,"0,00","0,00%","1,9","4,85","2604,0"
createAlbum,1,77,77,77,77,"0,00","0,00%","13,0","8,10","639,0"
getAlbum,1,122,122,122,122,"0,00","0,00%","8,2","6,72","839,0"
updateAlbum,1,85,85,85,85,"0,00","0,00%","11,8","6,72","585,0"
updateAlbumCoverImage,1,158,158,158,158,"0,00","0,00%","6,3","3,62","585,0"
addImages,1,88,88,88,88,"0,00","0,00%","11,4","6,49","585,0"
getImages,1,75,75,75,75,"0,00","0,00%","13,3","9,80","753,0"
deleteImages,1,148,148,148,148,"0,00","0,00%","6,8","3,86","585,0"
deleteAlbum,1,83,83,83,83,"0,00","0,00%","12,0","6,88","585,0"
TOTAL,9,151,75,524,158,"135,08","0,00%","7,8","6,54","862,2"
